text_asr,text_translated,intent,language,full_audio_path
oh yes I'm going to Japan for a couple of weeks on vacation and I wanted to know if I can use my card,oh yes I'm going to Japan for a couple of weeks on vacation and I wanted to know if I can use my card,0,en-US,MInDS-14\audio\en-US~ABROAD/602ba132bb1e6d0fbce91fe3.wav
I wanted to pay a large amount but I wanted to also verify that the confirmation code that I'm receiving via text message is actually coming from the bank,I wanted to pay a large amount but I wanted to also verify that the confirmation code that I'm receiving via text message is actually coming from the bank,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602b9e9d963e11ccd901cc28.wav
hi cards not working in ATM,hi cards not working in ATM,6,en-GB,MInDS-14\audio\en-GB~CARD_ISSUES/60268f7ddc3604f481bcb877.wav
where can I set up a joint account,where can I set up a joint account,11,en-AU,MInDS-14\audio\en-AU~JOINT_ACCOUNT/response_51.wav
hello I'm trying to use the app on my phone and for getting the bank details but it's not loading correctly just possibly help me,hello I'm trying to use the app on my phone and for getting the bank details but it's not loading correctly just possibly help me,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/60268bf7c7abb7f83213894a.wav
pay a bill,pay a bill,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_16.wav
hi I am calling today I asked about my existing business loan,hi I am calling today I asked about my existing business loan,5,en-AU,MInDS-14\audio\en-AU~BUSINESS_LOAN/response_45.wav
I have a question about a business loan,I have a question about a business loan,5,en-AU,MInDS-14\audio\en-AU~BUSINESS_LOAN/response_8.wav
show me my account balance please,show me my account balance please,4,en-AU,MInDS-14\audio\en-AU~BALANCE/response_40.wav
hello yes I'm calling in regards to my credit card bill at a little bit early if I could that would be great thank you,hello yes I'm calling in regards to my credit card bill at a little bit early if I could that would be great thank you,13,en-US,MInDS-14\audio\en-US~PAY_BILL/602ba74a05f96973d679446d.wav
hi I'm calling about setting up a new business loan please,hi I'm calling about setting up a new business loan please,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268d29c7abb7f832138a10.wav
how do I say go about setting up a joint account personal one and the parcel want I have not a person to separate account we we start fuses,how do I say go about setting up a joint account personal one and the parcel want I have not a person to separate account we we start fuses,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/60268f91c7abb7f832138cbe.wav
I want to put some money into my account and I'm not sure how to go about doing that,I want to put some money into my account and I'm not sure how to go about doing that,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_35.wav
tell me about recent transactions on my card,tell me about recent transactions on my card,12,en-US,MInDS-14\audio\en-US~LATEST_TRANSACTIONS/602bad08bb1e6d0fbce921dc.wav
going on vacation for a few weeks and wanted to ask,going on vacation for a few weeks and wanted to ask,0,en-US,MInDS-14\audio\en-US~ABROAD/602ba9dbbb1e6d0fbce9213c.wav
hi there I'm calling about a business loan I was wondering if I could get some information from you please,hi there I'm calling about a business loan I was wondering if I could get some information from you please,5,en-AU,MInDS-14\audio\en-AU~BUSINESS_LOAN/response_11.wav
I am looking for some help I've got a card with the bike and I'm currently like to see if it works I forgot I'm going on holiday for a few weeks so when you do not have any steps I need to take before I go,I am looking for some help I've got a card with the bike and I'm currently like to see if it works I forgot I'm going on holiday for a few weeks so when you do not have any steps I need to take before I go,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268bd6c7abb7f832138932.wav
I have a transaction I don't recognize could you please tell me who the payment came from,I have a transaction I don't recognize could you please tell me who the payment came from,12,en-US,MInDS-14\audio\en-US~LATEST_TRANSACTIONS/602bac2405f96973d67944c7.wav
hi I'm trying to use your app online it doesn't mean service now I can't get to my account I can't see my balance can you help me with this please,hi I'm trying to use your app online it doesn't mean service now I can't get to my account I can't see my balance can you help me with this please,2,en-US,MInDS-14\audio\en-US~APP_ERROR/602ba50505f96973d6794437.wav
I need to pay bill can you help me,I need to pay bill can you help me,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/6026901fc7abb7f832138df8.wav
what is the maximum I can withdraw please from a cash machine,what is the maximum I can withdraw please from a cash machine,3,en-AU,MInDS-14\audio\en-AU~ATM_LIMIT/response_19.wav
list my recent transactions,list my recent transactions,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_28.wav
cycling to find out what my opinion is for withdrawals is on my account,cycling to find out what my opinion is for withdrawals is on my account,3,en-US,MInDS-14\audio\en-US~ATM_LIMIT/602ba61fbb1e6d0fbce9208b.wav
hi I'm trying to make a large transaction online with my bank account and it says I'm getting a text message for verification,hi I'm trying to make a large transaction online with my bank account and it says I'm getting a text message for verification,10,en-AU,MInDS-14\audio\en-AU~HIGH_VALUE_PAYMENT/response_11.wav
hi it is the ANZ bank yet so I was just calling in regards to changing my address so I've just moved houses and I was just wondering if I could get my letters forwarded to my new address as there's a 1 my can is currently registered it,hi it is the ANZ bank yet so I was just calling in regards to changing my address so I've just moved houses and I was just wondering if I could get my letters forwarded to my new address as there's a 1 my can is currently registered it,1,en-AU,MInDS-14\audio\en-AU~ADDRESS/response_13.wav
I have a question about direct debit,I have a question about direct debit,8,en-US,MInDS-14\audio\en-US~DIRECT_DEBIT/602baf9805f96973d679451a.wav
my car doesn't do to work in there do you know why that might be,my car doesn't do to work in there do you know why that might be,6,en-GB,MInDS-14\audio\en-GB~CARD_ISSUES/60268bd2c7abb7f832138931.wav
I need to transfer some money into my account how can I do this,I need to transfer some money into my account how can I do this,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268bd1c7abb7f832138930.wav
got payment going out tomorrow I'm going to amend the amount to do that,got payment going out tomorrow I'm going to amend the amount to do that,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA7d17b9c2eea4bd151d135f72c19e3460_3.wav
I'm trying to make a large payment and it says it's going to send a confirmation code Via SMS I don't know how it works can you explain it to me,I'm trying to make a large payment and it says it's going to send a confirmation code Via SMS I don't know how it works can you explain it to me,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602ba755963e11ccd901ccee.wav
hello there I've just moved home so I was wondering if I'll be able to change my address,hello there I've just moved home so I was wondering if I'll be able to change my address,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268d4ac7abb7f832138a2c.wav
hello I'd like to open a joint account with my new partner and I was wondering if you could give me any instruction on how I could do that,hello I'd like to open a joint account with my new partner and I was wondering if you could give me any instruction on how I could do that,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/60268c8bc7abb7f83213899e.wav
my debit card won't work there is money in my account,my debit card won't work there is money in my account,6,en-GB,MInDS-14\audio\en-GB~CARD_ISSUES/60268f84c7abb7f832138c9b.wav
you phone up an organisation that you have a service with those want to pay a bill payment debit or credit card,you phone up an organisation that you have a service with those want to pay a bill payment debit or credit card,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/6026901bdc3604f481bcb8d4.wav
I want to pay my credit card bill,I want to pay my credit card bill,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_40.wav
clue I'm ringing up to try and find out about what's my limit to draw cash from my from the ATM,clue I'm ringing up to try and find out about what's my limit to draw cash from my from the ATM,3,en-AU,MInDS-14\audio\en-AU~ATM_LIMIT/response_43.wav
no I'm just here to call to find out if my card is able to be used abroad because I'm going to Korea next week and I'm just letting you know that I'm going I'm going to be using my card there so it doesn't get locked out but can I do you know the exchange rate in for my card when it comes to buying things in Korea,no I'm just here to call to find out if my card is able to be used abroad because I'm going to Korea next week and I'm just letting you know that I'm going I'm going to be using my card there so it doesn't get locked out but can I do you know the exchange rate in for my card when it comes to buying things in Korea,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268d0bc421a821df7c1855.wav
hi yeah I'm just trying to use your app but it's not loading for me I'm trying to load my account balance it says that it's not in service at the moment so now I can't access my account so I'm just wondering what I can do about it for really do it right now,hi yeah I'm just trying to use your app but it's not loading for me I'm trying to load my account balance it says that it's not in service at the moment so now I can't access my account so I'm just wondering what I can do about it for really do it right now,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/60268ca9c7abb7f8321389b1.wav
hi I've just been calling about a new business loan and I was wondering if you could help,hi I've just been calling about a new business loan and I was wondering if you could help,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268e82dc3604f481bcb7d6.wav
where can I deposit money into my account what ATMs work,where can I deposit money into my account what ATMs work,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_4.wav
I would like to set up a joint account can I do that in the app,I would like to set up a joint account can I do that in the app,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602ba3fe963e11ccd901cc7f.wav
I need to pay a bill ID like to make payment,I need to pay a bill ID like to make payment,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_47.wav
question about direct debits,question about direct debits,8,en-GB,MInDS-14\audio\en-GB~DIRECT_DEBIT/60268f98c7abb7f832138cd2.wav
I would like to make a direct deposit,I would like to make a direct deposit,8,en-US,MInDS-14\audio\en-US~DIRECT_DEBIT/602bac5f5f67b421554f6481.wav
I'd like to pay my credit card bill,I'd like to pay my credit card bill,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/60269001dc3604f481bcb8c8.wav
can you please freeze my card,can you please freeze my card,9,en-GB,MInDS-14\audio\en-GB~FREEZE/60268ee4c7abb7f832138b56.wav
list my direct debits,list my direct debits,8,en-GB,MInDS-14\audio\en-GB~DIRECT_DEBIT/60268f9dc7abb7f832138cde.wav
please can you freeze my bank card,please can you freeze my bank card,9,en-GB,MInDS-14\audio\en-GB~FREEZE/60268efbc421a821df7c1896.wav
my last transaction,my last transaction,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_15.wav
existing line,existing line,5,en-AU,MInDS-14\audio\en-AU~BUSINESS_LOAN/response_27.wav
I'd like some information about a business loan,I'd like some information about a business loan,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602baa2d963e11ccd901cd5b.wav
I am I need to deposit some money into my account I want to know the easiest way of doing it whether to transfer or I need to go to the bank,I am I need to deposit some money into my account I want to know the easiest way of doing it whether to transfer or I need to go to the bank,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268c75c7abb7f832138990.wav
stop all transactions on my card,stop all transactions on my card,9,en-AU,MInDS-14\audio\en-AU~FREEZE/CAc91a9d0a6fbb396be917a4e09aa1f5d4_1.wav
account balance,account balance,4,en-US,MInDS-14\audio\en-US~BALANCE/602baec5963e11ccd901ce0b.wav
I'm having trouble with my new car it's not working can you have a look and see why,I'm having trouble with my new car it's not working can you have a look and see why,6,en-AU,MInDS-14\audio\en-AU~CARD_ISSUES/response_30.wav
where can I deposit cash into my account please,where can I deposit cash into my account please,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_16.wav
show me my account balance,show me my account balance,4,en-GB,MInDS-14\audio\en-GB~BALANCE/60269156dc3604f481bcb8fc.wav
I'd like to make a deposit,I'd like to make a deposit,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602baf1405f96973d6794510.wav
set up a joint account how do I set up a joint account,set up a joint account how do I set up a joint account,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/60269002cfa37e1cf217b131.wav
change my address,change my address,1,en-US,MInDS-14\audio\en-US~ADDRESS/602bad92bb1e6d0fbce92200.wav
please put a stop on my card,please put a stop on my card,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_13.wav
I would like to know the amount in my current account,I would like to know the amount in my current account,4,en-US,MInDS-14\audio\en-US~BALANCE/602b98135f67b421554f636c.wav
hi I was wondering what the maximum money I can withdraw it,hi I was wondering what the maximum money I can withdraw it,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268ebec7abb7f832138b2a.wav
hello I was ring up to you try and transfer a large amount of money I'm waiting for an SMS to be sent to me and then it would be good if you could help to let me know what's the next step,hello I was ring up to you try and transfer a large amount of money I'm waiting for an SMS to be sent to me and then it would be good if you could help to let me know what's the next step,10,en-AU,MInDS-14\audio\en-AU~HIGH_VALUE_PAYMENT/response_47.wav
I would like to transfer some money into my account,I would like to transfer some money into my account,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268f8fc7abb7f832138cb9.wav
add someone to my account please,add someone to my account please,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602ba6b8963e11ccd901ccda.wav
I would like to pay my bill please yeah I want to make a payment online by direct debit thank you,I would like to pay my bill please yeah I want to make a payment online by direct debit thank you,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/60268ff5c7abb7f832138db1.wav
I would like to change my address,I would like to change my address,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268de8c421a821df7c1867.wav
hi can someone help me please I'm just wondering how do I set up a joint account with my husband I want us to be able to access your money thank you,hi can someone help me please I'm just wondering how do I set up a joint account with my husband I want us to be able to access your money thank you,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/60268faac421a821df7c18bc.wav
hi I just said the address of my come please,hi I just said the address of my come please,1,en-AU,MInDS-14\audio\en-AU~ADDRESS/response_37.wav
can you please show me my current account balance,can you please show me my current account balance,4,en-AU,MInDS-14\audio\en-AU~BALANCE/response_24.wav
how do I transfer money from my account to my 718 account,how do I transfer money from my account to my 718 account,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_23.wav
hello I'm going to see if I would want to give me direct debit to my account,hello I'm going to see if I would want to give me direct debit to my account,8,en-US,MInDS-14\audio\en-US~DIRECT_DEBIT/602ba9cc5f67b421554f645a.wav
please show me my current account balance,please show me my current account balance,4,en-US,MInDS-14\audio\en-US~BALANCE/602bad055f67b421554f648d.wav
hi I was looking at my recent transactions and I saw a bunch on the apps that I didn't recognize I didn't make I would like the account to be Frozen please and if I could get,hi I was looking at my recent transactions and I saw a bunch on the apps that I didn't recognize I didn't make I would like the account to be Frozen please and if I could get,12,en-US,MInDS-14\audio\en-US~LATEST_TRANSACTIONS/602ba078bb1e6d0fbce91fd7.wav
can I deposit money how do I transfer money to the account where can I deposit money,can I deposit money how do I transfer money to the account where can I deposit money,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_38.wav
can you see my account balance,can you see my account balance,4,en-US,MInDS-14\audio\en-US~BALANCE/602ba368963e11ccd901cc73.wav
hello I was calling to see if I was able to open up a new business loan,hello I was calling to see if I was able to open up a new business loan,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602b98e7bb1e6d0fbce91f31.wav
my payment is being declined,my payment is being declined,6,en-US,MInDS-14\audio\en-US~CARD_ISSUES/602babba05f96973d67944c1.wav
hi I'm planning intellectual trip do you know my car will work abroad,hi I'm planning intellectual trip do you know my car will work abroad,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268d3cc421a821df7c1858.wav
ID like to use my card abroad please,ID like to use my card abroad please,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CAe1dd6628129657bd89ce7442c5a093e5_2.wav
I need to find out if I probably set up a joint account,I need to find out if I probably set up a joint account,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602baa0fbb1e6d0fbce9214f.wav
I would like to get a business loan for a new business,I would like to get a business loan for a new business,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602baed35f67b421554f64c4.wav
hello ID like to make a payment for a bill it's due and a couple of days can you walk me through the steps of how to do that thank you,hello ID like to make a payment for a bill it's due and a couple of days can you walk me through the steps of how to do that thank you,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_12.wav
I'm about to travel in 2 weeks and I want to know if I'll be able to use my card,I'm about to travel in 2 weeks and I want to know if I'll be able to use my card,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA007d41c9f78ab53ee7ee7668bc21dea7_1.wav
hello I'm calling for technical difficulties I cannot access my bank account and I was wondering what the problem is thank you,hello I'm calling for technical difficulties I cannot access my bank account and I was wondering what the problem is thank you,2,en-US,MInDS-14\audio\en-US~APP_ERROR/602b97d1bb1e6d0fbce91f1f.wav
I am I am currently at the shops and my card is refusing the payment and declining why can I not use my card,I am I am currently at the shops and my card is refusing the payment and declining why can I not use my card,6,en-AU,MInDS-14\audio\en-AU~CARD_ISSUES/response_7.wav
I need my card to work Abroad,I need my card to work Abroad,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA63219acaee54a906a4522e1536f3ce36_2.wav
n I prove my card on the internet,n I prove my card on the internet,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_16.wav
how much money can I withdraw per day from the ATM,how much money can I withdraw per day from the ATM,3,en-US,MInDS-14\audio\en-US~ATM_LIMIT/602ba77a963e11ccd901ccf1.wav
how can I stop a direct debit,how can I stop a direct debit,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_17.wav
see the security hold put on my card,see the security hold put on my card,9,en-US,MInDS-14\audio\en-US~FREEZE/602bad6cbb1e6d0fbce921f8.wav
I lost my card and need to freeze my account,I lost my card and need to freeze my account,9,en-US,MInDS-14\audio\en-US~FREEZE/602ba5c75f67b421554f640d.wav
there's a payment that I don't know,there's a payment that I don't know,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/CA0898557c8ed959f87f563ed1724097b3_4.wav
show my latest transactions,show my latest transactions,12,en-US,MInDS-14\audio\en-US~LATEST_TRANSACTIONS/602baeea963e11ccd901ce14.wav
I have some questions about a business loan,I have some questions about a business loan,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602baec9963e11ccd901ce0d.wav
what is my account balance,what is my account balance,4,en-GB,MInDS-14\audio\en-GB~BALANCE/60268f1ec7abb7f832138bbc.wav
I was wondering if you could tell me the account,I was wondering if you could tell me the account,4,en-GB,MInDS-14\audio\en-GB~BALANCE/60268eddc7abb7f832138b4e.wav
I want to change my address,I want to change my address,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268bdfc7abb7f83213893a.wav
hello I'm ringing because I have an issue with my bank card whenever I try to use it in a shop it just says it's declined but the is plenty of money in there I wondered if you could help me,hello I'm ringing because I have an issue with my bank card whenever I try to use it in a shop it just says it's declined but the is plenty of money in there I wondered if you could help me,6,en-GB,MInDS-14\audio\en-GB~CARD_ISSUES/60268e0dc7abb7f832138ab7.wav
hi there I'd like to know why my card doesn't work it doesn't work in either an ATM or a payment point and I'm unable to use it pay for things can you help me fix this issue or replace my car for me please,hi there I'd like to know why my card doesn't work it doesn't work in either an ATM or a payment point and I'm unable to use it pay for things can you help me fix this issue or replace my car for me please,6,en-GB,MInDS-14\audio\en-GB~CARD_ISSUES/60268f81c7abb7f832138c97.wav
information request for new business loan,information request for new business loan,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268b63c7abb7f8321388de.wav
please freeze my card,please freeze my card,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_23.wav
oh hi there I'm just curious about the some direct debits that are on my account how can I find out where those are please,oh hi there I'm just curious about the some direct debits that are on my account how can I find out where those are please,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_9.wav
please return me to the direct debits,please return me to the direct debits,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_13.wav
hi there I'm trying to use the app to access my account but it's not working properly,hi there I'm trying to use the app to access my account but it's not working properly,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/602689f0cfa37e1cf217b076.wav
hi there just to confirm and I've got a card here I'm just wondering does it work abroad as well as within the UK on a trip on my family and the last thing I want to get the stuff out there with the current and working no cash on me get back to me I'll be sweet thank you very much,hi there just to confirm and I've got a card here I'm just wondering does it work abroad as well as within the UK on a trip on my family and the last thing I want to get the stuff out there with the current and working no cash on me get back to me I'll be sweet thank you very much,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268a79dc3604f481bcb6f8.wav
love you to use his card anywhere if I'm in Spain and Portugal,love you to use his card anywhere if I'm in Spain and Portugal,0,en-US,MInDS-14\audio\en-US~ABROAD/602bab5905f96973d67944ba.wav
hello I wish to change my address on my card account,hello I wish to change my address on my card account,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268e30dc3604f481bcb79e.wav
oh hi I'm just calling about some recent transactions that are showing up on my statement there's a payment there that I don't recognise can you help me with that please,oh hi I'm just calling about some recent transactions that are showing up on my statement there's a payment there that I don't recognise can you help me with that please,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_4.wav
direct debit,direct debit,8,en-US,MInDS-14\audio\en-US~DIRECT_DEBIT/602baf6d963e11ccd901ce44.wav
I would like to know more about Direct debits,I would like to know more about Direct debits,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_35.wav
hi can I use my card abroad,hi can I use my card abroad,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268c1cc7abb7f83213895b.wav
I was just wondering what the maximum amount of money Mozart the ATM is,I was just wondering what the maximum amount of money Mozart the ATM is,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268ef8c421a821df7c1894.wav
I am calling because I want to pay a bill,I am calling because I want to pay a bill,13,en-US,MInDS-14\audio\en-US~PAY_BILL/602bb2c5963e11ccd901ce52.wav
hi there I'm having a bit of an issue with the app it doesn't seem to be loading my new account balance just wanted you can help me please,hi there I'm having a bit of an issue with the app it doesn't seem to be loading my new account balance just wanted you can help me please,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_6.wav
hey mate I'm just at the pub last night and look I've lost my card there's been no transaction on it so far but I just really need it frozen as soon as possible if you do that for me you'd be a bloody legend thank you so much,hey mate I'm just at the pub last night and look I've lost my card there's been no transaction on it so far but I just really need it frozen as soon as possible if you do that for me you'd be a bloody legend thank you so much,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_27.wav
hi I would like to get my most recent bank transaction thank you very much,hi I would like to get my most recent bank transaction thank you very much,12,en-US,MInDS-14\audio\en-US~LATEST_TRANSACTIONS/602bae74bb1e6d0fbce92262.wav
ID like to change my address,ID like to change my address,1,en-AU,MInDS-14\audio\en-AU~ADDRESS/CAefcf80cfd1ba3f28889441d81c5a9321_3.wav
ah yes good afternoon could I please grab a list of the most recent transactions please I'll my savings account,ah yes good afternoon could I please grab a list of the most recent transactions please I'll my savings account,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_6.wav
hi my bank app isn't working is there a technical issue or can you help me fix it thank you,hi my bank app isn't working is there a technical issue or can you help me fix it thank you,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/60268e19c7abb7f832138ac4.wav
I have been received the card from the bank but I am trying to use my card and it's not allowing me to pay for things,I have been received the card from the bank but I am trying to use my card and it's not allowing me to pay for things,6,en-AU,MInDS-14\audio\en-AU~CARD_ISSUES/CAe2308f4d45086fa9f1fd49bdccbf5a96_2.wav
hi what did you can help me please sorry to freeze my card as soon as possible I need it completely blocked for any transactions that might occur I need you to please the comment cars on my card thank you,hi what did you can help me please sorry to freeze my card as soon as possible I need it completely blocked for any transactions that might occur I need you to please the comment cars on my card thank you,9,en-GB,MInDS-14\audio\en-GB~FREEZE/60268fefc7abb7f832138da0.wav
tell me my Direct debits,tell me my Direct debits,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_31.wav
what is direct debits and how does it work can you please explain to me,what is direct debits and how does it work can you please explain to me,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_2.wav
so you spent the money I'd like to see my new account balance,so you spent the money I'd like to see my new account balance,4,en-US,MInDS-14\audio\en-US~BALANCE/602ba418bb1e6d0fbce92030.wav
I need to freeze my card,I need to freeze my card,9,en-GB,MInDS-14\audio\en-GB~FREEZE/60268f5fdc3604f481bcb864.wav
hi I'd like to make a deposit into my account how can I do that,hi I'd like to make a deposit into my account how can I do that,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268f70dc3604f481bcb86d.wav
I'm trying to pick a large payment online and it says I'm going to get a text message what does this mean,I'm trying to pick a large payment online and it says I'm going to get a text message what does this mean,10,en-GB,MInDS-14\audio\en-GB~HIGH_VALUE_PAYMENT/60268f96c421a821df7c18b6.wav
show me my current account balance,show me my current account balance,4,en-US,MInDS-14\audio\en-US~BALANCE/602ba9c25f67b421554f6459.wav
ID like to pay bills due and I don't send it out to do it online,ID like to pay bills due and I don't send it out to do it online,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_6.wav
I would like to take out a new business loan,I would like to take out a new business loan,5,en-AU,MInDS-14\audio\en-AU~BUSINESS_LOAN/response_29.wav
can you show me on my outgoing direct debits,can you show me on my outgoing direct debits,8,en-GB,MInDS-14\audio\en-GB~DIRECT_DEBIT/60268f72c7abb7f832138c6c.wav
my card isn't working in the office on speakerphone,my card isn't working in the office on speakerphone,6,en-US,MInDS-14\audio\en-US~CARD_ISSUES/602baa9d963e11ccd901cd6f.wav
I like to pay my bill please thank you,I like to pay my bill please thank you,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_39.wav
oh hi there ID like to set up a joint account with my partner and I'm not sure how to go about doing that can you help me please,oh hi there ID like to set up a joint account with my partner and I'm not sure how to go about doing that can you help me please,11,en-AU,MInDS-14\audio\en-AU~JOINT_ACCOUNT/response_6.wav
hi could I have some more information about my latest transaction there's a paint that I'm not aware of,hi could I have some more information about my latest transaction there's a paint that I'm not aware of,12,en-GB,MInDS-14\audio\en-GB~LATEST_TRANSACTIONS/6026902fcfa37e1cf217b13c.wav
I would like to stop all transactions on my card,I would like to stop all transactions on my card,9,en-US,MInDS-14\audio\en-US~FREEZE/602baeccbb1e6d0fbce92285.wav
hi I'm just ringing to ask you to change my address on your ex I think you change my address,hi I'm just ringing to ask you to change my address on your ex I think you change my address,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268d4ac7abb7f832138a2d.wav
hi just calling about a bill I have to make payment on,hi just calling about a bill I have to make payment on,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_25.wav
hi I'm just calling cuz I'm trying to do like online banking using the app and it doesn't seem to be working it keeps saying the app does not load as I can't get into the system do you know what's wrong,hi I'm just calling cuz I'm trying to do like online banking using the app and it doesn't seem to be working it keeps saying the app does not load as I can't get into the system do you know what's wrong,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/60268b33c7abb7f8321388bd.wav
I'd like to make a bill payment,I'd like to make a bill payment,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/60269102c421a821df7c18fe.wav
how much money would I be able to withdraw the ATM,how much money would I be able to withdraw the ATM,3,en-US,MInDS-14\audio\en-US~ATM_LIMIT/602ba79a05f96973d6794472.wav
I need to know my account balance,I need to know my account balance,4,en-US,MInDS-14\audio\en-US~BALANCE/602bad575f67b421554f6496.wav
please block my card,please block my card,9,en-GB,MInDS-14\audio\en-GB~FREEZE/60268faec7abb7f832138d0f.wav
ok thank you,ok thank you,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/CA9941e4f1775407ad8464d950241d76ab_4.wav
I'm just calling to find out if my card is going to work overseas,I'm just calling to find out if my card is going to work overseas,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA92a29dc5597ae149a6ea423067dc84b1_3.wav
hi there I need to use my card abroad is that something I can do,hi there I need to use my card abroad is that something I can do,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268af7c7abb7f832138895.wav
I want to pay my bills,I want to pay my bills,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/60268ae0c7abb7f83213888b.wav
hi I've lost my card and so I think I might know where it is but could you freeze it for right now I don't want any transactions to happen on it until I can find it,hi I've lost my card and so I think I might know where it is but could you freeze it for right now I don't want any transactions to happen on it until I can find it,9,en-US,MInDS-14\audio\en-US~FREEZE/602ba1ed05f96973d6794409.wav
ID app isn't working on my phone could I speak to someone to sort it out,ID app isn't working on my phone could I speak to someone to sort it out,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/60268e6fdc3604f481bcb7cb.wav
